Epoch,TrainLoss,TestAcc,CostTime
500,1.42504,0.515625,128.333091736
1000,1.26044,0.601562,107.805967331
1500,1.17694,0.671875,107.315063477
2000,0.90338,0.617188,113.354921341
2500,0.960819,0.664062,113.217115402
3000,0.689515,0.679688,106.151103973
3500,0.60775,0.796875,103.219985962
4000,0.636516,0.695312,108.78610611
4500,0.510307,0.671875,109.203100204
5000,0.451786,0.765625,99.6840000153
5500,0.543274,0.6875,108.502864838
6000,0.40954,0.710938,112.491130829
6500,0.623039,0.75,104.513168335
7000,0.374729,0.804688,110.801935196
7500,0.298998,0.726562,107.177019119
8000,0.219791,0.742188,112.524986267
8500,0.278624,0.773438,109.037876129
9000,0.274405,0.757812,109.623908997
9500,0.310406,0.6875,114.018917084
10000,0.334255,0.710938,116.384983063
10500,0.195672,0.71875,101.581811905
11000,0.200502,0.757812,97.5520610809
11500,0.150932,0.742188,110.599040985
12000,0.169973,0.789062,106.007099152
12500,0.144157,0.75,142.695903778
13000,0.0801986,0.742188,85.3080749512
13500,0.11463,0.664062,103.492021561
14000,0.125684,0.78125,101.479053497
14500,0.116478,0.796875,115.301847458
15000,0.0805835,0.742188,107.094049454
15500,0.141623,0.695312,106.915950775
16000,0.0871965,0.6875,108.170032501
16500,0.0417072,0.695312,99.5399951935
17000,0.0572424,0.742188,107.439041138
17500,0.100586,0.78125,113.379001617
18000,0.0507731,0.734375,101.485013962
18500,0.154639,0.71875,101.230859756
19000,0.0893996,0.734375,107.536077499
19500,0.0500354,0.78125,106.242895126
20000,0.019094,0.78125,102.823972702
20500,0.0398844,0.726562,99.1649627686
21000,0.0515177,0.773438,101.893901825
21500,0.0757529,0.742188,109.045982361
22000,0.0316315,0.773438,104.094028473
22500,0.0860738,0.773438,107.342004776
23000,0.0285871,0.8125,101.741075516
23500,0.0171916,0.734375,107.104063034
24000,0.00582676,0.75,106.153011322
24500,0.0247543,0.734375,104.667901993
25000,0.00500643,0.734375,114.291906357
25500,0.0216947,0.789062,106.816053391
26000,0.00996417,0.78125,107.186079025
26500,0.0338846,0.773438,113.922119141
27000,0.0189876,0.773438,106.693983078
27500,0.0428432,0.828125,117.216110229
28000,0.0182887,0.75,108.476877213
28500,0.00948008,0.757812,103.269100189
29000,0.00444373,0.765625,108.514785767
29500,0.0322038,0.703125,103.806972504
30000,0.00432736,0.742188,105.737924576
30500,0.00487273,0.804688,108.613967896
31000,0.0206932,0.695312,109.138011932
31500,0.00555943,0.757812,111.305952072
32000,0.00629283,0.78125,105.419158936
32500,0.0273836,0.734375,111.128091812
33000,0.0178064,0.789062,104.221105576
33500,0.054989,0.796875,110.66198349
34000,0.0113903,0.765625,100.300073624
34500,0.0382299,0.773438,111.439943314
35000,0.0929847,0.757812,104.444026947
35500,0.00170997,0.6875,108.994960785
36000,0.0847836,0.773438,110.473155975
36500,0.0314687,0.71875,110.014915466
37000,0.00916175,0.789062,109.280824661
37500,0.0185588,0.710938,104.063034058
38000,0.0486341,0.734375,110.553979874
38500,0.0311104,0.84375,108.630895615
39000,0.0501917,0.734375,102.463006973
39500,0.0137083,0.78125,106.503009796
40000,0.0133583,0.734375,112.093925476
40500,0.0135167,0.6875,112.937927246
41000,0.00242359,0.765625,110.157966614
41500,0.00509214,0.828125,104.053974152
42000,0.00112048,0.726562,109.39002037
42500,0.00263353,0.742188,111.514091492
43000,0.000968519,0.726562,106.220006943
43500,0.00100624,0.726562,111.317873001
44000,0.0218211,0.757812,107.609987259
44500,0.0116099,0.757812,113.68894577
45000,0.0241743,0.773438,112.425088882
45500,0.0161811,0.851562,107.036113739
46000,0.00123271,0.757812,105.978012085
46500,0.0439825,0.75,118.93081665
47000,0.00320682,0.742188,106.913089752
47500,0.0397281,0.75,107.667922974
48000,0.0287085,0.71875,111.799001694
48500,0.00675176,0.734375,107.859134674
49000,0.0179015,0.796875,104.401111603
49500,0.00803064,0.773438,105.928897858
50000,0.00525975,0.703125,107.846021652
